route27_id,folio,locus_kind,gap_rows,unique_loci,token_counts,prefix_counts,suffix_counts,line_position_counts,top_loci,section_notes,image_source_status,image_manifest_folio,image_url,commons_page,priority_level,priority_reason,review_action,semantic_guardrail
R27-037,f76r,P,9,9,okar=5|okal=2|otal=1|otar=1,ok=7|ot=2,ar=6|al=3,middle=9,"f76r.13,+P0|f76r.20,+P0|f76r.29,+P0|f76r.35,+P0|f76r.44,+P0",at approximately the right place reading: sdqsolkrs,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-038,f106r,P,8,6,okal=2|otar=2|okar=1|okol=1|otal=1|otol=1,ok=4|ot=4,al=3|ar=3|ol=2,middle=7|end=1,"f106r.14,+P0|f106r.16,+P0|f106r.18,+P0|f106r.29,+P0|f106r.43,+P0","Light star, dotted, 7 points, tail|Light star, 7 points, tail|Light star, dotted, 8 points, tail",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-039,f112v,P,8,4,okal=2|okar=2|otal=2|otar=1|otol=1,ok=4|ot=4,al=4|ar=3|ol=1,middle=8,"f112v.5,+P0|f112v.8,+P0|f112v.44,+P0|f112v.47,+P0","Light star, dotted?, 7 points, tail|Light star, 7 points, tail??|Light star, 6 points, tail",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-040,f79r,P,8,8,otal=5|okol=2|okar=1,ot=5|ok=3,al=5|ol=2|ar=1,middle=7|end=1,"f79r.1,@P0|f79r.6,+P0|f79r.10,+P0|f79r.11,+P0|f79r.15,+P0",B@R p88,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-041,f80r,P,8,8,otal=3|otar=2|otol=2|okal=1,ot=7|ok=1,al=4|ar=2|ol=2,middle=7|end=1,"f80r.12,+P0|f80r.14,+P0|f80r.15,+P0|f80r.21,+P0|f80r.33,+P0",queens on top|Stream of blue liquid,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-042,f103v,P,7,7,otar=4|otal=3,ot=7,ar=4|al=3,middle=7,"f103v.14,+P0|f103v.17,+P0|f103v.20,+P0|f103v.23,+P0|f103v.25,+P0","Light star, dotted, 7 points|Light star, 7 points|Light star, 6 points",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-043,f105r,P,7,7,otar=3|okal=2|okar=1|otol=1,ot=4|ok=3,ar=4|al=2|ol=1,middle=7,"f105r.4,+P0|f105r.21,+P0|f105r.31,+P0|f105r.32,+P0|f105r.33,+P0","Light star, dotted, 8 points, tail|Light star, 8 points, tail|Light star, 7 points, tail",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-044,f108v,P,7,7,okar=3|okal=2|otal=1|otar=1,ok=5|ot=2,ar=4|al=3,middle=7,"f108v.5,+P0|f108v.8,+P0|f108v.10,+P0|f108v.17,+P0|f108v.23,+P0","Light star, 7 points, tail|Light star, dotted, 8 points, tail|Light star, dotted, 7 points, tail",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-045,f111v,P,7,6,okar=2|otal=2|otar=2|okal=1,ot=4|ok=3,ar=4|al=3,middle=7,"f111v.3,+P0|f111v.7,+P0|f111v.15,+P0|f111v.16,+P0|f111v.34,+P0","Light star, dotted, 8 points, tail|Light star, dotted, 7 points, tail|Light star, 8 points",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-046,f17v,P,7,5,okal=2|okol=2|otor=2|okar=1,ok=5|ot=2,al=2|ol=2|or=2|ar=1,middle=5|end=1|start=1,"f17v.2,+P0|f17v.3,+P0|f17v.10,+P0|f17v.15,+P0|f17v.18,+P0",trachaia leaves (Dioscorides fol/25r),not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-047,f78r,P,7,6,otal=2|otar=2|okal=1|okar=1|otor=1,ot=5|ok=2,al=3|ar=3|or=1,middle=7,"f78r.4,+P0|f78r.6,+P0|f78r.8,+P0|f78r.10,+P0|f78r.31,+P0",Petersen's ID numbers in comments whenever this may be helpful,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-048,f78v,P,7,6,okal=3|okar=1|okol=1|otar=1|otor=1,ok=5|ot=2,al=3|ar=2|ol=1|or=1,middle=6|start=1,"f78v.5,+P0|f78v.7,+P0|f78v.14,+P0|f78v.22,+P0|f78v.28,+P0",B@R p88,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-049,f80v,P,7,6,otal=3|okal=2|okar=1|otol=1,ot=4|ok=3,al=5|ar=1|ol=1,middle=7,"f80v.2,+P0|f80v.14,+P0|f80v.15,+P0|f80v.21,+P0|f80v.30,+P0",Strange object in one nymph's hand (same in f82r),not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-050,f89v1,P,7,6,okol=4|okal=2|otar=1,ok=6|ot=1,ol=4|al=2|ar=1,middle=7,"f89v1.6,+P0|f89v1.9,+P0|f89v1.14,+P0|f89v1.16,+P0|f89v1.19,+P0","two rows of plants, at top and bottom of page. 2 paras in between",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-051,f89v2,P,7,5,okar=2|okal=1|okol=1|okor=1|otal=1|otol=1,ok=5|ot=2,al=2|ar=2|ol=2|or=1,middle=6|end=1,"f89v2.8,+P0|f89v2.16,+P0|f89v2.18,+P0|f89v2.19,+P0|f89v2.20,+P0","It has 3 rows of small, complete plants and 3 paras of text",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-052,f95r2,P,7,5,okar=3|okal=2|otal=1|otar=1,ok=5|ot=2,ar=4|al=3,middle=7,"f95r2.5,+P0|f95r2.6,+P0|f95r2.7,+P0|f95r2.8,+P0|f95r2.9,+P0","Currier's language B, hand 5",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-053,f48v,P,6,5,otar=4|okar=2,ot=4|ok=2,ar=6,middle=6,"f48v.2,+P0|f48v.3,+P0|f48v.4,+P0|f48v.6,+P0|f48v.10,+P0","Same plant as f89v[1,4] ? (Stolfi)",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-054,f55v,P,6,5,okar=3|okal=2|otar=1,ok=5|ot=1,ar=4|al=2,middle=5|start=1,"f55v.4,+P0|f55v.8,+P0|f55v.9,+P0|f55v.10,+P0|f55v.11,+P0",Plant ID: Elephant's ear?|Next line badly legible,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-055,f75v,P,6,6,okal=2|otar=2|okar=1|otol=1,ok=3|ot=3,ar=3|al=2|ol=1,middle=4|end=1|start=1,"f75v.3,*P0|f75v.7,*P0|f75v.38,@P0|f75v.48,+P0|f75v.66,+P1",last character in first 5 lines aligned vertically reading slors|Continue normal loci. Petersen counted the above as 11a and 12 so he's 1 out now|Alignment of all following lines is very uncertain,not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-056,f76v,P,6,6,okor=3|okal=1|otar=1|otol=1,ok=4|ot=2,or=3|al=1|ar=1|ol=1,middle=5|end=1,"f76v.1,@P0|f76v.2,+P0|f76v.3,+P0|f76v.4,+P0|f76v.19,+P0","Currier's language B, hand 2",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
R27-057,f79v,P,6,6,okar=3|otol=2|otar=1,ok=3|ot=3,ar=4|ol=2,middle=6,"f79v.11,+P0|f79v.23,+P0|f79v.26,+P0|f79v.30,+P0|f79v.33,+P0","Currier's language B, hand 2",not_in_manifest,,,,P3,low_count_and_no_manifest_image,find_or_download_source_image_before_annotation,visual_gap_priority_not_evidence
