priority_score,folio,locus,locus_kind,prefix_family,distinct_suffixes,suffixes_present,axis_coverage,total_candidates,ar,al,or,ol,tokens,target_status_counts,line_positions,visual_contexts,annotated_tokens,visual_zones,object_nearby,annotation_confidence
32,f101r,"f101r.2,+P0",P,standalone,2,ol or,rl,4,0,0,2,2,ol or,standalone:4,middle,paragraph/text line,0,,,
32,f101r,"f101r.8,+P0",P,ch,2,ol or,rl,4,0,0,2,2,cheor chol chor,broad:1; exact:3,end middle,paragraph/text line,0,,,
32,f101v,"f101v.20,+P0",P,standalone,2,ol or,rl,4,0,0,3,1,ol or,standalone:4,middle start,paragraph/text line,0,,,
32,f101v,"f101v.23,+P0",P,d,2,ar ol,ao+rl,3,2,0,0,1,dar dol,broad:1; exact:2,end middle,paragraph/text line,0,,,
32,f104r,"f104r.37,+P0",P,ok,2,al ar,rl,3,2,1,0,0,okal okar,exact:3,middle,paragraph/text line,0,,,
32,f107v,"f107v.14,+P0",P,qok,2,al ar,rl,3,1,2,0,0,qokal qokar,exact:3,middle,paragraph/text line,0,,,
32,f112v,"f112v.8,+P0",P,ok,2,al ar,rl,3,2,1,0,0,okal okar,exact:3,middle,paragraph/text line,0,,,
32,f113v,"f113v.26,+P0",P,ot,2,ar ol,ao+rl,2,1,0,0,1,otar otol,exact:2,middle,paragraph/text line,0,,,
32,f116r,"f116r.5,+P0",P,ot,2,al or,ao+rl,2,0,1,1,0,otal otor,exact:2,middle,paragraph/text line,0,,,
32,f18r,"f18r.6,+P0",P,d,2,al ar,rl,3,2,1,0,0,dal dar,exact:3,end middle,paragraph/text line,0,,,
32,f21r,"f21r.12,+P0",P,ch,2,ol or,rl,3,0,0,2,1,chol chor,exact:3,middle,paragraph/text line,0,,,
32,f2v,"f2v.6,+P0",P,ch,2,ol or,rl,3,0,0,1,2,chol chor,exact:3,middle,paragraph/text line,0,,,
32,f4r,"f4r.8,+P0",P,sh,2,ol or,rl,3,0,0,1,2,shol shor,exact:3,middle start,paragraph/text line,0,,,
32,f54v,"f54v.4,+P0",P,ch,2,ol or,rl,3,0,0,1,2,chol chor,exact:3,middle,paragraph/text line,0,,,
32,f55r,"f55r.13,+P0",P,ot,2,ar ol,ao+rl,2,1,0,0,1,otar otol,exact:2,middle,paragraph/text line,0,,,
32,f55r,"f55r.9,+P0",P,d,2,al ar,rl,3,2,1,0,0,dal dar,exact:3,middle,paragraph/text line,0,,,
32,f58v,"f58v.38,+P0",P,ok,2,al or,ao+rl,2,0,1,1,0,okal okor,exact:2,middle,paragraph/text line,0,,,
32,f58v,"f58v.38,+P0",P,qok,2,ar ol,ao+rl,2,1,0,0,1,qokar qokol,exact:2,middle,paragraph/text line,0,,,
32,f66v,"f66v.4,+P0",P,d,2,al ol,ao,4,0,3,0,1,dal dol,broad:1; exact:3,end middle,paragraph/text line,0,,,
32,f78v,"f78v.2,+P0",P,d,2,al ol,ao,4,0,3,0,1,dal dol,broad:1; exact:3,end middle,paragraph/text line,0,,,
32,f79r,"f79r.8,+P0",P,qok,2,al ol,ao,3,0,2,0,1,qokal qokol,exact:3,middle start,paragraph/text line,0,,,
